source_repo	source_path	dest_path	source_commit	source_sha256	sanctioned_adapt	adapted_now
CH	README.md	README.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4358915aed6bd42975e950ad440f2e4ebbd46a1fd64dd8689b4ccef8ac45a766	1	yes
CH	CLAUDE.md	CLAUDE.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	f71134da5e14fd795f82314aa7e2a87a608fbce156f2874c626c2372e7c1b641	1	yes
CH	GLOSSARY.md	GLOSSARY.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	a50967f8a7f7b0722a2dda84df3e389201283c2053ed8381c09bf210ef5de890	0	no
CH	BACKLOG.md	BACKLOG.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	b5a6eeedc6657e23cb78ffc24701a879f7664335fa2f515af3e3555a5e5d1fec	1	yes
CH	PUBLISHING.md	design/PUBLISHING.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	9e6b58ff3d1d81050706fd8412bdcca81a81721fb1b690dad73996655d4fcb9e	0	no
CH	.claude/settings.json	.claude/settings.json	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4f49c066db2158a65f39ab014c6f11d04f99c451b7bc06a479e576970be39b05	1	yes
CH	.gitignore	.gitignore	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	7e5c6025339c4e4515162a5536a41469af517d942464a34048fb371c79cbc0a0	1	yes
CH	docs/CONSOLIDATION-MANDATE.md	provenance/CONSOLIDATION-MANDATE.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	27892dfd98f96ba76e752838cecc55edde31b579be495ad16aac028c31836eeb	0	no
CH	docs/consolidation/LAYOUT.md	provenance/LAYOUT.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	eaa4447d5c41b23ac19ac700b665d444bbaa3a37ed4f6160cb1534f52f3d30ee	0	no
CH	docs/consolidation/MIGRATION-MANIFEST.md	provenance/MIGRATION-MANIFEST.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	c33cb04f489387e26e14d53b1760769d9ad8f599c2f10947e5046d0dcc05d47a	0	no
CH	docs/consolidation/BUILD-BRIEF.md	provenance/BUILD-BRIEF.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	96e6261bb19608b4e9829ae83599f149638806bf519283a559a4e9a2500570b3	0	no
CH	docs/ARCHITECTURE.md	design/ARCHITECTURE.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	0b97a50d2d3d8939e496a922b080ab7553b54872b416b7e6ba661540b31a80ed	1	yes
CH	docs/SHIPPING-NORTH-STAR.md	design/SHIPPING-NORTH-STAR.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	a412037fbf8421d8a7fb09ae8c29b67b7fad339e385e876dcdde1459e3b4da5e	0	no
CH	docs/possibly-addressable-concerns.md	design/possibly-addressable-concerns.md	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	4e2407ceddf0e9054cbab38472031425e12526992a9a2b1370fd953302b41c63	0	no
CH	db/harness/001_research_ledger.sql	stores/001_research_ledger.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	0770a02f5f80779563778caf6f4afb5d771412aabfe0bca1162835920965bc60	0	no
CH	db/harness/002_rationalization_ledger.sql	stores/002_rationalization_ledger.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	08b8ccd1a62661175b766cbf39b82f6aa8e8f0a63ade4cb95984cad108a2449a	0	no
CH	db/harness/003_acts_stream.sql	stores/003_acts_stream.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	1b33f95cc4513abcdccae30753595ed957592db80851c94b97f26b82bd7a04c9	0	no
CH	db/harness/004_rulings_ledger.sql	stores/004_rulings_ledger.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	8f7d35f0b9c8f7f2113fbc1ab508bbc984d9c253cebf8927ccc23349369bd3fa	0	no
CH	db/harness/005_findings_ledger.sql	stores/005_findings_ledger.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	27b6bf058ef5a96f4debba39d3e94cc38a41f17d2b676f54f83c39a239f87f97	0	no
CH	db/harness/006_foreclosure_debt.sql	stores/006_foreclosure_debt.sql	87e1bcc3e03bdc3fed1924219c8e181dcf8646e7	53c990c383b6cf91418cb13c4afffd0487db1ce2011e4e7871bcc8c4eb61c81a	0	no
